"tube"	"individual"	"moult_date"	"treatment_date"	"mutilation"	"Time"	"bodymass"	"Prot_Absosb"	"prot"	"oxy"	"rom"	"oxy_bm"	"rom_bm"	"oxy_prot"	"rom_prot"
"1"	1	34	"10/08/2015"	"09/09/2015"	"intact"	"8h"	0.02519	0.396	3.789808917	289.1298349	3.420815258	11477.96089	135.8005263	76.29140182	0.902635287
"2"	2	41	"09/08/2015"	"09/09/2015"	"scapus"	"8h"	0.03502	0.424	4.681528662	317.0289855	3.022622803	9052.797987	86.31133076	67.71911663	0.64564868
"4"	4	43	"30/08/2015"	"09/09/2015"	"scapus"	"8h"	0.034	0.425	4.713375796	309.4202899	2.791888238	9100.59676	82.11435994	65.64727771	0.592333045
"6"	6	33	"30/08/2015"	"09/09/2015"	"scapus"	"8h"	0.03373	0.409	4.203821656	285.326087	2.584227129	8459.119092	76.61509426	67.87302372	0.614732817
"7"	7	35	"13/08/2015"	"09/09/2015"	"scapus"	"8h"	0.04062	0.45	5.50955414	336.6847826	6.852816584	8288.645559	168.7054797	61.10926112	1.243806016
"15"	15	56	"09/08/2015"	"09/09/2015"	"leg"	"8h"	0.02946	0.398	3.853503185	260.9148551	2.145831456	8856.580281	72.83881384	67.70848305	0.55685213
"16"	16	44	"11/08/2015"	"09/09/2015"	"intact"	"8h"	0.01132	0.399	3.885350318	334.1566512	0	29519.1388	0	86.00425285	0
"17"	17	60	"28/08/2015"	"09/09/2015"	"leg"	"8h"	0.02556	0.48	6.464968153	289.7350993	1.745201911	11335.48902	68.278635	44.81616807	0.269947488
"20"	20	31	"14/08/2015"	"09/09/2015"	"scapus"	"8h"	0.0281	0.446	5.382165605	109.602649	-0.477985237	3900.450143	-17.01015077	20.36404248	-0.088809091
"22"	22	45	"30/08/2015"	"09/09/2015"	"scapus"	"8h"	0.02805	0.424	4.681528662	256.6225166	2.834563613	9148.752818	101.0539612	54.81596612	0.605478214
"24"	24	32	"06/08/2015"	"09/09/2015"	"intact"	"8h"	0.04541	0.425	4.713375796	341.3907285	8.348067738	7517.963631	183.8376511	72.4301951	1.771144101
"28"	28	42	"09/08/2015"	"09/09/2015"	"intact"	"8h"	0.02274	0.41	4.23566879	219.5364238	0.989318281	9654.196299	43.50564118	51.83040382	0.233568376
"29"	29	54	"09/08/2015"	"09/09/2015"	"leg"	"8h"	0.03099	0.415	4.394904459	303.6423841	3.723838472	9798.076286	120.1625838	69.08964392	0.847308174
"30"	30	39	"28/08/2015"	"09/09/2015"	"scapus"	"8h"	0.03798	0.433	4.968152866	298.013245	4.257403387	7846.583598	112.0959291	59.98471727	0.856938887
"32"	32	57	"11/08/2015"	"09/09/2015"	"leg"	"8h"	0.03119	0.498	7.038216561	251.8385004	2.582959641	8074.334734	82.81371085	35.78157878	0.366990646
"33"	33	38	"08/08/2015"	"09/09/2015"	"intact"	"8h"	0.02255	0.469	6.114649682	251.8385004	1.848251121	11168.00445	81.9623557	41.18608808	0.302266069
"34"	34	59	"28/08/2015"	"09/09/2015"	"leg"	"8h"	0.02846	0.443	5.286624204	293.7274694	2.56	10320.71221	89.95080815	55.56049722	0.484240964
"35"	35	58	"28/08/2015"	"09/09/2015"	"leg"	"8h"	0.04702	0.398	3.853503185	339.6539293	3.524304933	7223.605473	74.95331631	88.14159819	0.914571693
"36"	36	55	"09/08/2015"	"09/09/2015"	"leg"	"8h"	0.03216	0.399	3.885350318	297.7649603	2.858475336	9258.860707	88.88293956	76.63786684	0.735705947
"38"	38	36	"10/08/2015"	"09/09/2015"	"intact"	"8h"	0.03957	0.456	5.700636943	189.2573901	6.440179372	4782.850393	162.7540908	33.19934105	1.129729789
"39"	39	37	"15/08/2015"	"09/09/2015"	"scapus"	"8h"	0.02261	0.429	4.840764331	148.3777938	0.011423472	6562.485352	0.505239791	30.65172846	0.002359849
"50"	50	46	"29/08/2015"	"09/09/2015"	"intact"	"8h"	0.02787	0.42	4.554140127	228.0264123	0.902454261	8181.78731	32.38084899	50.07013529	0.198161285
"51"	51	47	"09/08/2015"	"09/09/2015"	"scapus"	"8h"	0.04521	0.561333333	9.055201699	324.5781365	4.763587684	7179.343872	105.365797	35.84438506	0.526060914
"53"	53	50	"10/08/2015"	"09/09/2015"	"intact"	"8h"	0.04487	0.605	10.44585987	292.7366104	8.190629183	6524.105425	182.5413235	28.02417551	0.784102916
"54"	54	48	"22/08/2015"	"09/09/2015"	"intact"	"8h"	0.02909	0.586666667	9.861995754	258.3272194	4.854975457	8880.275674	166.8949968	26.1942132	0.492291376
"55"	55	49	"08/08/2015"	"09/09/2015"	"scapus"	"8h"	0.03173	0.562	9.076433121	288.1144534	4.306648817	9080.190779	135.7279804	31.74313627	0.474486922
"56"	56	51	"09/08/2015"	"09/09/2015"	"leg"	"8h"	0.03645	0.612	10.66878981	297.3587674	3.781169121	8157.990876	103.7357784	27.87183671	0.354414061
"57"	57	52	"10/08/2015"	"09/09/2015"	"leg"	"8h"	0.02558	0.518	7.675159236	266.5443874	2.159036145	10420.03078	84.40328947	34.72818989	0.281301805
"58"	58	40	"11/08/2015"	"09/09/2015"	"intact"	"8h"	0.03919	0.611666667	10.6581741	313.7931034	3.027219991	8006.968702	77.24470505	29.44154417	0.284028011
"60"	60	53	"09/08/2015"	"09/09/2015"	"leg"	"8h"	0.0358	0.52	7.738853503	308.6573734	4.775011156	8621.714342	133.3801999	39.88412151	0.617017902
